Player_Name,DOB,Batting_Hand,Bowling_Skill,Country
a ashish reddy,1991-02-24,Right_Hand,Right-arm medium,India
a chandila,1983-12-05,Right_Hand,Right-arm offbreak,India
a chopra,1977-09-19,Right_Hand,Right-arm offbreak,India
a flintoff,1977-12-06,Right_Hand,Right-arm fast-medium,England
a kumble,1970-10-17,Right_Hand,Legbreak googly,India
a mishra,1982-11-24,Right_Hand,Legbreak,India
a mithun,1989-10-25,Right_Hand,Right-arm medium,India
a mukund,1990-01-06,Right_Hand,Legbreak googly,India
a nehra,1979-04-29,Right_Hand,Left-arm medium-fast,India
a nel,1977-07-15,Right_Hand,Right-arm fast-medium,South Africa
a singh,1981-06-21,Right_Hand,Right-arm medium-fast,India
a symonds,1975-06-09,Right_Hand,Right-arm offbreak,Australia
a uniyal,1981-11-21,Right_Hand,Left-arm medium,India
a zampa,1992-03-31,Right_Hand,Legbreak googly,Australia
aa bilakhia,1986-05-31,Right_Hand,Right-arm medium,India
aa chavan,1985-10-28,Right_Hand,Slow left-arm orthodox,India
aa jhunjhunwala,1982-12-01,Right_Hand,Right-arm offbreak,India
aa kazi,1989-09-29,Right_Hand,Slow left-arm orthodox,India
aa noffke,1977-04-30,Right_Hand,Right-arm fast-medium,Australia
ab agarkar,1977-12-04,Right_Hand,Right-arm fast,India
ab barath,1990-04-14,Left_Hand,Right-arm offbreak,India
ab de villiers,1984-02-17,Right_Hand,Right-arm medium,South Africa
ab dinda,1984-03-25,Right_Hand,Right-arm medium-fast,India
ab mcdonald,1981-06-05,Right_Hand,Right-arm fast-medium,Australia
abdur razzak,1982-06-15,Left_Hand,Slow left-arm orthodox,Bangladesh
ac blizzard,1984-06-27,Left_Hand,Left-arm medium,Australia
ac gilchrist,1971-11-14,Left_Hand,Right-arm offbreak,Australia
ac thomas,1977-02-09,Right_Hand,Right-arm fast-medium,England
ac voges,1979-10-04,Right_Hand,Slow left-arm orthodox,Australia
ad mascarenhas,1977-10-30,Right_Hand,Right-arm fast-medium,England
ad mathews,1987-06-02,Right_Hand,Right-arm fast-medium,Sri Lanka
ad nath,1993-05-10,Right_Hand,Right-arm medium-fast,India
ad russell,1988-04-29,Right_Hand,Right-arm fast,West Indies
af milne,1992-04-13,Right_Hand,Right-arm fast,New Zealand
