batsman,total_runs,out,numberofballs,average,strikerate
v kohli,5426,152,4111,35.7,131.99
sk raina,5386,160,3916,33.66,137.54
rg sharma,4902,161,3742,30.45,131.0
da warner,4717,114,3292,41.38,143.29
s dhawan,4601,137,3665,33.58,125.54
ch gayle,4525,110,2972,41.14,152.25
ms dhoni,4450,118,3206,37.71,138.8
rv uthappa,4420,156,3381,28.33,130.73
ab de villiers,4414,104,2902,42.44,152.1
g gambhir,4219,134,3400,31.49,124.09
am rahane,3834,117,3133,32.77,122.37
kd karthik,3669,138,2813,26.59,130.43
sr watson,3590,115,2566,31.22,139.91
at rayudu,3313,114,2616,29.06,126.64
yk pathan,3222,110,2240,29.29,143.84
bb mccullum,2886,106,2185,27.23,132.08
pa patel,2864,127,2352,22.55,121.77
mk pandey,2855,95,2352,30.05,121.39
ka pollard,2772,102,1879,27.18,147.53
yuvraj singh,2755,109,2121,25.28,129.89
v sehwag,2728,98,1746,27.84,156.24
m vijay,2589,93,2104,27.84,123.05
se marsh,2489,65,1866,38.29,133.39
jh kallis,2427,89,2219,27.27,109.37
dr smith,2385,81,1758,29.44,135.67
sr tendulkar,2334,71,1943,32.87,120.12
sv samson,2215,79,1693,28.04,130.83
r dravid,2174,77,1877,28.23,115.82
ac gilchrist,2069,76,1492,27.22,138.67
spd smith,2038,59,1570,34.54,129.81
jp duminy,2031,49,1633,41.45,124.37
kl rahul,1988,49,1428,40.57,139.22
mek hussey,1977,52,1608,38.02,122.95
ra jadeja,1931,83,1567,23.27,123.23
f du plessis,1861,56,1459,33.23,127.55
da miller,1858,54,1327,34.41,140.02
dpmd jayawardene,1808,64,1460,28.25,123.84
wp saha,1767,74,1340,23.88,131.87
rr pant,1767,49,1071,36.06,164.99
aj finch,1741,66,1332,26.38,130.71
mk tiwary,1696,60,1446,28.27,117.29
ss iyer,1695,57,1321,29.74,128.31
kc sangakkara,1687,69,1387,24.45,121.63
nv ojha,1555,74,1308,21.01,118.88
mandeep singh,1535,71,1227,21.62,125.1
dj bravo,1494,63,1155,23.71,129.35
q de kock,1478,46,1109,32.13,133.27
kk nair,1465,61,1137,24.02,128.85
s badrinath,1441,48,1210,30.02,119.09
ad russell,1415,41,752,34.51,188.16
gj maxwell,1401,62,864,22.6,162.15
bj hodge,1400,46,1117,30.43,125.34
jc buttler,1396,37,919,37.73,151.9
sc ganguly,1349,54,1261,24.98,106.98
dj hussey,1322,48,1069,27.54,123.67
ks williamson,1309,34,964,38.5,135.79
ca lynn,1288,37,909,34.81,141.69
ss tiwary,1276,42,1064,30.38,119.92
ma agarwal,1269,67,988,18.94,128.44
tm dilshan,1153,41,1006,28.12,114.61
ik pathan,1150,52,948,22.12,121.31
ml hayden,1107,27,802,41.0,138.03
n rana,1093,40,808,27.32,135.27
km jadhav,1087,46,851,23.63,127.73
hh pandya,1082,38,689,28.47,157.04
lmp simmons,1079,27,851,39.96,126.79
lrpl taylor,1017,41,818,24.8,124.33
